Tienda,Dulce de leche en corte,Dulce de coco con leche,Dulce de naranja,Jalea de batata,Dulce de guayaba,Dulce de lechosa,Majarete,Flan de coco,Arroz con leche,Mini cheesecake de fresa,Mini cheesecake de chinola,Palitos de coco,Besitos de coco,Suspiritos,Turron de mani,Canquina,Dulce de platano,Gofio artesanal
Bravo Núñez de Cáceres,4,3,2,1,2,0,1,2,1,3,2,5,4,3,2,1,0,2
Bravo 27 de Febrero,6,4,3,2,3,1,2,3,2,4,3,7,6,4,3,2,1,3
Nacional Bella Vista,5,3,2,2,2,1,1,2,2,5,4,6,5,3,2,1,1,2
Nacional Arroyo Hondo,3,2,1,1,1,0,1,1,1,2,2,4,3,2,1,1,0,1
Jumbo Luperón,4,3,2,1,2,1,1,2,1,2,2,5,4,3,2,1,1,2
La Sirena Churchill,7,5,3,2,3,1,2,3,2,5,4,8,7,5,3,2,1,3
Plaza Lama Duarte,2,2,1,1,1,0,1,1,1,1,1,3,3,2,1,1,0,1
Bravo Charles de Gaulle,5,4,2,2,2,1,2,2,2,3,2,6,5,3,2,2,1,2
Jumbo San Isidro,4,3,2,1,2,1,1,2,1,2,2,5,4,3,2,1,1,2
La Sirena Megacentro,6,4,3,2,3,1,2,3,2,4,3,7,6,4,3,2,1,3
Olé Las Américas,3,2,1,1,1,0,1,1,1,1,1,4,3,2,1,1,0,1
Bravo Villa Mella,3,2,2,1,1,1,1,1,1,2,1,4,3,2,1,1,1,1
Aprezio Sabana Perdida,2,1,1,1,1,0,0,1,1,1,1,3,2,1,1,1,0,1
La Sirena Carretera Mella,4,3,2,1,2,1,1,2,1,2,2,5,4,3,2,1,1,2
Nacional Santiago,5,4,2,2,2,1,2,2,2,4,3,6,5,3,2,2,1,2
La Sirena Estrella Sadhalá,6,4,3,2,3,1,2,3,2,4,3,7,6,4,3,2,1,3
Bravo Santiago,4,3,2,1,2,1,1,2,1,3,2,5,4,3,2,1,1,2
Jumbo Las Colinas,3,2,1,1,1,0,1,1,1,2,1,4,3,2,1,1,0,1
Plaza Lama Santiago,2,2,1,1,1,0,1,1,1,1,1,3,2,2,1,1,0,1
La Sirena Moca,3,2,2,1,1,1,1,1,1,2,1,4,3,2,1,1,1,1
Nacional La Vega,3,2,1,1,1,0,1,1,1,2,2,4,3,2,1,1,0,1
Jumbo La Romana,4,3,2,1,2,1,1,2,1,2,2,5,4,3,2,1,1,2
La Sirena Higüey,5,3,2,2,2,1,1,2,2,3,2,6,5,3,2,1,1,2
Bravo San Pedro,3,2,1,1,1,0,1,1,1,2,1,4,3,2,1,1,0,1
Olé San Cristóbal,2,2,1,1,1,0,1,1,1,1,1,3,2,2,1,1,0,1
La Sirena Baní,3,2,2,1,1,1,1,1,1,2,1,4,3,2,1,1,1,1
Jumbo Azua,2,1,1,1,1,0,0,1,1,1,1,3,2,1,1,1,0,1
Nacional Punta Cana,6,4,3,2,3,1,2,3,2,5,4,7,6,4,3,2,1,3
